"State","St_case","Latitude","Longitud","Race","Hispanic","Per_typ","Age","Sex","Inj_sev","County","City","Month","Day","Hour","Func_sys","Drunk_dr","Body_typ","Is_Motorcycle","Race_desc","Per_type_desc","Year","Age_Cohort","Mode","County_Name"
41,410196,42.765441667,-121.8370139,"0",0,1,34,1,0,35,0,7,26,15,2,0,63,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_30_34","Motor Vehicle","KLAMATH"
41,410196,42.765441667,-121.8370139,"1",7,1,18,1,4,35,0,7,26,15,2,0,15,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_18_19","Motor Vehicle","KLAMATH"
41,410196,42.765441667,-121.8370139,"0",0,2,14,1,2,35,0,7,26,15,2,0,15,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_10_14","Motor Vehicle","KLAMATH"
41,410197,45.44755,-120.6134028,"1",7,1,63,1,4,55,0,7,26,18,5,1,63,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_55_64","Motor Vehicle","SHERMAN"
41,410198,42.958158333,-121.8268778,"1",7,1,20,1,4,35,0,7,26,5,2,1,31,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_20_24","Motor Vehicle","KLAMATH"
41,410198,42.958158333,-121.8268778,"0",0,1,46,1,3,35,0,7,26,5,2,1,66,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_45_54","Motor Vehicle","KLAMATH"
41,410199,45.817402778,-123.9500167,"0",0,5,18,1,3,7,0,7,28,16,2,1,NA,FALSE,"Latinx","Pedestrian",2004,"Age_18_19","Pedestrian","CLATSOP"
41,410199,45.817402778,-123.9500167,"1",7,1,19,1,4,7,0,7,28,16,2,1,3,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_18_19","Motor Vehicle","CLATSOP"
41,410199,45.817402778,-123.9500167,"0",0,1,28,1,2,7,0,7,28,16,2,1,30,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_25_29","Motor Vehicle","CLATSOP"
41,410199,45.817402778,-123.9500167,"0",0,2,30,1,2,7,0,7,28,16,2,1,30,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_30_34","Motor Vehicle","CLATSOP"
41,410200,45.068986111,-123.3216222,"1",7,1,33,1,4,53,0,6,13,15,4,0,90,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_30_34","Motor Vehicle","POLK"
41,410200,45.068986111,-123.3216222,"0",0,1,22,1,3,53,0,6,13,15,4,0,90,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_20_24","Motor Vehicle","POLK"
41,410201,45.589488889,-122.9937222,"1",7,1,32,1,4,67,0,6,21,23,2,1,4,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_30_34","Motor Vehicle","WASHINGTON"
41,410202,43.303016667,-123.1419222,"1",7,1,63,1,4,19,0,7,7,14,3,0,2,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_55_64","Motor Vehicle","DOUGLAS"
41,410202,43.303016667,-123.1419222,"0",0,1,33,1,3,19,0,7,7,14,3,0,2,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_30_34","Motor Vehicle","DOUGLAS"
41,410202,43.303016667,-123.1419222,"0",0,2,33,2,3,19,0,7,7,14,3,0,2,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_30_34","Motor Vehicle","DOUGLAS"
41,410202,43.303016667,-123.1419222,"0",0,2,12,2,2,19,0,7,7,14,3,0,2,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_10_14","Motor Vehicle","DOUGLAS"
41,410202,43.303016667,-123.1419222,"0",0,2,19,2,2,19,0,7,7,14,3,0,2,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_18_19","Motor Vehicle","DOUGLAS"
41,410202,43.303016667,-123.1419222,"0",0,2,11,1,2,19,0,7,7,14,3,0,2,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_10_14","Motor Vehicle","DOUGLAS"
41,410203,45.499827778,-118.8158861,"1",7,1,77,2,4,59,0,7,5,11,2,0,4,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_75_84","Motor Vehicle","UMATILLA"
41,410204,44.759022222,-123.0819139,"0",0,1,17,2,1,47,0,8,1,21,5,1,30,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_15_17","Motor Vehicle","MARION"
41,410204,44.759022222,-123.0819139,"0",0,2,16,2,1,47,0,8,1,21,5,1,30,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_15_17","Motor Vehicle","MARION"
41,410204,44.759022222,-123.0819139,"0",0,2,17,2,1,47,0,8,1,21,5,1,30,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_15_17","Motor Vehicle","MARION"
41,410204,44.759022222,-123.0819139,"1",7,2,17,2,4,47,0,8,1,21,5,1,30,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2004,"Age_15_17","Motor Vehicle","MARION"
